genus,decimallatitude,decimallongitude,day,month,year
Chelonia,29.692583,-81.335989,27,5,2016
Chelonia,29.899649,-81.228159,12,5,2017
Eretmochelys,28.83333,-82.61667,,,1881
Caretta,24.55,-82,,,1864
Chelonia,29.917011,-81.250387,23,11,2016
Chelonia,29.854059,-81.365462,28,9,2016
Caretta,26.116667,-80.133333,12,8,1969
Chelonia,29.912802,-81.359177,22,10,2017
Caretta,28.198082,-80.514865,4,9,2017
Syllomus,29.011389,-82.653893,,,
,29.011389,-82.653893,,,
,30.4,-83,,,
,30.4,-83,,,
,27.5,-82.5,,,
Caretta,27.656944,-82.080276,,,
Caretta,27.811111,-81.912498,,,
Chelonia,27.783333,-81.938057,,,
Lepidochelys,27.783333,-81.938057,,,
,30.690832,-84.861389,,,
Chelonia,27.9,-81.800003,,,
Caretta,27.9,-81.800003,,,
Eretmochelys,27.9,-81.800003,,,
Eretmochelys,27.9,-81.800003,,,
Chelonia,27.9,-81.800003,,,
Lepidochelys,27.9,-81.800003,,,
Chelonia,27.533333,-81.816666,,,
Chelonia,27.7575,-81.825554,,,
Chelonia,27.9,-81.800003,,,
Caretta,27.9,-81.800003,,,
Chelonia,27.811111,-81.912498,,,
Chelonia,27.9,-81.800003,,,
Chelonia,27.683332,-81.949997,,,
Caretta,27.830278,-80.811386,,,
Caretta,27.638332,-80.397499,,,
Chelonia,27.638332,-80.397499,,,
Caretta,27.700001,-82.5,,,
Chelonia,28.504306,-80.455911,8,5,2016
Chelonia,28.163208,-80.50057,13,9,2017
Chelonia,28.146943,-80.596803,13,9,2017
Caretta,26.265599,-80.093363,12,8,2017
Eretmochelys,28.83333,-82.61667,,,1881
Caretta,24.55,-82,,,1864
Caretta,24.76324,-82.869329,22,7,2014
Caretta,25.849635,-80.088276,7,8,2017
Caretta,24.801369,-80.863162,27,6,2017
Chelonia,28.497397,-80.446401,8,5,2016
Chelonia,30.4032,-81.194,4,6,2017
Caretta,30.196568,-84.225322,9,6,2017
Chelonia,29.380877,-81.075523,16,2,2017
Caretta,26.9342,-80.0942,21,5,2017
Caretta,26.436471,-78.402639,26,3,2016
Chelonia,29.600362,-81.328952,3,6,2015
Eretmochelys,26.488739,-78.595664,9,4,2015
Chelonia,27.985861,-80.462677,22,4,2017
Caretta,28.315,-80.48,29,4,2008
Caretta,28.183666,-79.6345,25,5,2007
Caretta,28.315,-80.48,29,4,2008
Caretta,30.379166,-81.093333,26,2,2008
Caretta,30.379166,-81.093333,26,2,2008
Caretta,24.55607,-81.77767,,,
Caretta,29.498112,-81.01503,5,8,2010
Chelonia,29.044803,-80.896291,12,11,2016
Caretta,28.954114,-80.7637,4,6,2016
Caretta,25.960046,-81.746607,24,6,2015
Caretta,25.710788,-81.5504,18,3,2015
Caretta,27.810144,-82.788714,4,3,2014
Caretta,30.11185,-81.34367,,,
Caretta,30.04053,-81.32713,18,7,2002
Caretta,30.04053,-81.32713,18,7,2002
Caretta,30.05484,-81.33023,,,
Caretta,30.10492,-81.34201,19,8,1994
Chelonia,30.10897,-81.34294,4,9,2002
Caretta,30.04765,-81.32874,3,9,2002
Caretta,30.04053,-81.32713,18,7,2002
Chelonia,30.10897,-81.34294,4,9,2002
Caretta,30.2179,-81.3793,24,8,1997
Caretta,30.07194,-81.35087,,,
Caretta,30.06204,-81.33177,5,9,2002
Lepidochelys,24.686667,-81.035,21,12,1999
Caretta,25.673667,-80.1575,30,11,2001
Lepidochelys,29.11514,-80.953287,,,
Chelonia,24.62761,-82.89354,30,11,1993
Chelonia,24.62761,-82.89354,30,11,1993
Eretmochelys,25.0107,-80.2205,24,12,1992
Lepidochelys,26.7094,-82.2164,4,4,1989
Lepidochelys,27.91631,-82.74122,30,11,1994
Lepidochelys,27.91631,-82.74122,30,11,1992
Chelonia,28.06556,-80.56012,30,11,1990
Lepidochelys,27.2314,-82.52216,14,8,1999
Lepidochelys,27.2314,-82.52216,14,8,1999
Eretmochelys,24.926667,-80.62,26,6,1995
Eretmochelys,29.8623,-81.2725,28,4,1995
Eretmochelys,24.571167,-81.667767,10,1,1991
Chelonia,25.0994,-80.43548,15,6,1997
Chelonia,30.1536,-85.727486,,,
Caretta,30.176605,-85.805449,29,9,1980
Caretta,28.677558,-80.646904,30,11,1974
Caretta,28.677558,-80.646904,30,11,1974
Caretta,28.677558,-80.646904,30,11,1974
Lepidochelys,26.43062,-82.11197,17,3,1997
Lepidochelys,26.43062,-82.11197,17,3,1997
Lepidochelys,26.43062,-82.11197,17,3,1997
Lepidochelys,26.43062,-82.11197,17,3,1997
Lepidochelys,26.43062,-82.11197,17,3,1997
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.041202,-80.898428,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.041202,-80.898428,,,
Lepidochelys,29.041202,-80.898428,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.11514,-80.953287,,,
Lepidochelys,29.041202,-80.898428,,,
Lepidochelys,29.041202,-80.898428,,,
Eretmochelys,24.58738,-82.11183,30,3,1996
Eretmochelys,24.58738,-82.11183,30,3,1996
Lepidochelys,29.11642,-83.05889,13,10,2013
Lepidochelys,27.85258,-80.44443,3,5,2013
Chelonia,24.74446,-80.95407,9,5,1962
Chelonia,27.5223,-80.3116,22,5,1985
Chelonia,25.0251,-80.7159,20,1,2010
Chelonia,25.0251,-80.7159,20,1,2010
Chelonia,25.0251,-80.7159,20,1,2010
Caretta,29.22238,-81.00446,2,11,1969
Caretta,29.22238,-81.00446,2,11,1969
Caretta,29.22238,-81.00446,2,11,1969
Lepidochelys,27.802577,-82.790227,30,4,1989
Caretta,27.59023,-82.76265,31,7,2008
Eretmochelys,27.26084,-82.54588,23,5,2008
Caretta,27.97472,-82.802643,30,11,1989
Caretta,29.984676,-85.521183,23,5,1984
Chelonia,30.195425,-84.263039,19,9,2008
Lepidochelys,27.696141,-82.736527,22,9,1988
Lepidochelys,26.4533,-82.0133,15,1,1989
Caretta,28.388047,-80.607163,30,6,1986
Caretta,29.966894,-85.500429,23,5,1984
Eretmochelys,26.324667,-80.074083,21,9,2006
Eretmochelys,26.324667,-80.074083,21,9,2006
Lepidochelys,28.608698,-80.674556,13,6,2006
Caretta,25.12817,-80.92821,10,8,1973
Caretta,25.228,-80.5255,31,8,1965
Caretta,25.0251,-80.7159,31,12,1963
Caretta,25.228,-80.5255,31,8,1965
Chelonia,25.0251,-80.7159,31,8,1963
Chelonia,25.0251,-80.7159,31,10,1963
Chelonia,25.0251,-80.7159,30,9,1964
Caretta,26.256557,-80.082861,15,9,2004
Eretmochelys,27.623167,-80.346669,19,1,2005
Caretta,26.146332,-80.483375,25,6,2002
Caretta,25.733006,-80.162784,,,
Caretta,25.704317,-80.157883,13,11,1957
Caretta,26.07405,-80.11034,8,4,1980
Caretta,25.686,-80.479,30,6,1958
Caretta,25.686,-80.479,30,6,1958
Caretta,25.733006,-80.162784,13,7,1958
Caretta,26.14092,-80.10215,18,8,1943
Caretta,28.07781,-80.56109,29,8,1990
Eretmochelys,26.942631,-80.080746,20,3,1993
Caretta,28.0917,-80.5653,18,10,1970
Caretta,26.82509,-80.0433,3,7,1990
Eretmochelys,24.528235,-82.00634,1,9,1989
Caretta,27.63869,-80.39689,11,9,1965
Caretta,28.092848,-80.567056,16,8,1972
Caretta,29.7928,-84.6174,30,11,1983
Caretta,29.7928,-84.6174,17,9,1984
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,3,5,1988
Chelonia,24.55607,-81.77767,29,6,1960
Caretta,29.85337,-81.26549,10,7,1985
Chelonia,27.356251,-80.246446,,,
Chelonia,28.303932,-80.708832,10,9,1986
Chelonia,28.303932,-80.708832,22,8,1986
Chelonia,28.233171,-80.607891,30,11,1985
Chelonia,28.303932,-80.708832,12,9,1986
Chelonia,27.356251,-80.246446,28,9,1986
Chelonia,26.358698,-80.082991,27,8,1986
Chelonia,27.356251,-80.246446,15,9,1986
Chelonia,27.356251,-80.246446,18,8,1986
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,26,4,1984
Lepidochelys,29.73402,-81.24078,15,11,1987
Lepidochelys,29.853264,-84.664352,,,
Lepidochelys,29.7885,-84.6266,20,8,1987
Eretmochelys,25.53545,-80.17063,27,1,1982
Caretta,29.7928,-84.6174,30,11,1984
Caretta,29.7928,-84.6174,3,5,1986
Caretta,29.7928,-84.6174,30,11,1984
Caretta,29.7928,-84.6174,3,5,1986
Caretta,29.7928,-84.6174,3,4,1985
Caretta,29.7928,-84.6174,30,11,1984
Caretta,29.7928,-84.6174,30,9,1985
Caretta,29.6607,-85.1313,31,3,1975
Caretta,29.7928,-84.6174,8,4,1984
Lepidochelys,29.7928,-84.6174,5,5,1986
Caretta,29.7928,-84.6174,30,11,1984
Eretmochelys,25.53545,-80.17063,27,1,1982
Caretta,27.44731,-80.32569,31,8,1960
Eretmochelys,25.53545,-80.17063,27,1,1982
Eretmochelys,25.53545,-80.17063,27,1,1982
Caretta,29.7928,-84.6174,26,4,1984
Caretta,27.44731,-80.32569,31,8,1960
Caretta,27.44731,-80.32569,31,8,1960
Eretmochelys,25.53545,-80.17063,27,1,1982
Caretta,26.788638,-80.034801,19,7,1986
Caretta,26.788638,-80.034801,19,7,1986
Caretta,26.788638,-80.034801,19,7,1986
Caretta,26.788638,-80.034801,19,7,1986
Caretta,26.788638,-80.034801,19,7,1986
Caretta,26.788638,-80.034801,19,7,1986
Lepidochelys,29.176107,-80.982686,4,3,1981
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.356251,-80.246446,,,
Chelonia,27.21584,-80.175,,,
Caretta,27.255996,-80.197069,,,
Caretta,27.59023,-82.76265,16,5,1982
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Chelonia,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Caretta,27.489982,-80.141591,8,9,1972
Lepidochelys,29.91,-80.77,,,
Lepidochelys,29.146407,-83.040051,,,
Eretmochelys,30.326191,-81.659698,,,
Chelonia,24.6583,-81.5283,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.7928,-84.6174,19,7,1983
Caretta,29.7868,-84.642,,,
Caretta,29.7928,-84.6174,,,
Caretta,29.6607,-85.1313,30,11,1972
Caretta,29.7928,-84.6174,20,9,1984
Caretta,29.486646,-81.129595,3,9,1984
Eretmochelys,26.11953,-80.12341,6,2,1971
Chelonia,28.6932,-80.6607,20,1,1977
Chelonia,30.176605,-85.805449,20,12,1983
Chelonia,29.689634,-85.264276,12,2,1981
Chelonia,29.770267,-85.404754,31,12,1983
Caretta,29.8862,-81.27428,31,12,1983
Eretmochelys,24.5612,-81.80011,17,1,1984
Caretta,26.6153,-80.03563,,,
Caretta,26.6153,-80.03563,,,
Caretta,26.6153,-80.03563,,,
Eretmochelys,27.21584,-80.175,13,7,1983
Caretta,28.4094,-80.6094,,,
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.342803,-80.609899,,,
Caretta,28.342803,-80.609899,,,
Chelonia,28.803602,-82.575799,,,
Caretta,28.342803,-80.609899,,,
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Eretmochelys,27.20939,-80.17077,16,2,1981
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Eretmochelys,26.956957,-80.076567,16,1,1981
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,4,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Chelonia,28.548,-80.664,13,12,1980
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,28.270823,-80.606003,5,9,1979
Caretta,27.764755,-80.398945,,,
Caretta,29.533669,-81.153033,2,7,1978
Caretta,29.121636,-80.951303,30,9,1978
Caretta,29.66731,-81.21322,27,8,1978
Chelonia,25.2088,-81.1535,9,2,1978
Caretta,25.383,-81.142,22,10,1977
Caretta,24.65967,-81.52456,31,12,1977
Caretta,24.65967,-81.52456,1,1,1978
Chelonia,26.944045,-80.071351,31,10,1958
Caretta,29.67094,-81.21395,30,9,1968
Caretta,27.63869,-80.39689,11,9,1965
Lepidochelys,27.77112,-82.67961,19,10,1960
Caretta,28.799154,-82.602185,,,
Lepidochelys,29.146407,-83.040051,30,11,1957
Lepidochelys,29.146407,-83.040051,,,
Chelonia,29.146407,-83.040051,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
Chelonia,27.22236,-80.17857,,,
